ID,Purchase
229195,79.09182
427657,191.56142
423726,81.624245
350429,112.09647
396326,139.45796
307342,121.42605
190692,273.31396
539736,200.8641
49124,71.27981
19344,114.42428
482972,164.83685
479149,97.422485
536450,99.30182
341141,89.492195
343107,69.20461
300521,65.86325
48394,88.90371
71134,82.28122
271794,94.271286
199955,114.68181
132964,86.13868
155699,80.61937
395956,111.10679
69594,86.78144
459798,94.44065
99762,163.04361
169830,54.51914
392528,219.94427
59846,115.03519
288196,104.29101
544828,65.94161
365833,105.70591
238851,108.01387
370907,94.07918
498962,264.44995
501126,166.56438
255954,100.6033
55907,182.67505
91702,25.89927
41642,144.40607
362829,242.13686
199414,145.56161
506960,110.17599
48132,144.78815
254695,78.91543
403123,190.08977
302150,147.5096
5900,116.96926
442909,74.02223
217258,83.14939
479594,76.729126
472939,80.43938
24693,100.01195
259880,118.6043
212535,155.64076
207026,100.65595
159717,123.67191
390096,137.587
514308,233.64052
248526,126.48209
276216,86.08119
505442,103.07505
345881,129.13513
205534,297.46893
445640,133.9693
46816,139.76915
516215,130.91388
232332,69.16823
112610,54.238094
201422,74.8731
406863,169.48633
46099,57.66678
108478,88.50171
504175,130.5217
13284,133.0515
513771,121.38637
125407,168.81186
218114,98.72459
393323,194.22127
189578,174.59053
130789,66.66415
113652,59.263657
440780,109.3543
448245,160.63661
221977,139.77939
318675,109.51273
331361,62.993393
367658,89.301155
96889,120.179054
22641,110.77703
302472,146.3022
518245,161.05058
343328,67.81154
62961,122.21129
84930,106.38522
72197,124.513176
260716,61.518856
114467,67.172066
83321,108.09919
81593,202.13646
341630,117.211365
268977,148.77939
347403,153.45064
7607,55.97215
474013,90.271324
533620,81.06273
474010,136.70387
150141,122.54818
255330,76.25983
423051,140.29362
89765,89.87005
267207,91.517914
478833,114.46187
150317,101.85835
89372,148.7849
506982,39.552296
154966,106.501
354157,129.37988
370627,87.39394
104291,192.28856
358205,97.374245
85681,80.79999
313695,147.54083
309102,65.484314
111966,315.60535
69262,82.890144
417736,152.35382
245061,61.821594
93608,103.30948
535308,163.56139
269055,116.54991
29010,20.90161
168460,48.632824
137191,400.44016
482424,68.91289
356941,66.617905
257345,101.70243
242440,88.33312
95686,60.252773
79307,72.83134
311149,320.76645
414082,94.90501
457046,120.78899
11620,97.51606
285110,115.08984
228474,77.06207
93962,216.11583
299492,114.58461
65951,11.080268
16804,149.80641
296282,70.03169
416095,83.12131
22803,98.019966
34864,124.03413
221566,158.87932
12849,111.28855
243736,73.14705
487436,176.69958
71739,90.80828
31573,150.854
52445,96.32761
18640,164.95584
341193,92.767654
439606,113.62648
380651,113.05436
242748,164.33363
543439,68.48233
458388,115.43455
183805,100.01131
126046,308.7691
500917,73.79655
353454,53.259777
136845,211.3939
109833,83.933655
466770,107.179756
454874,127.78551
74376,184.56728
537877,194.83342
